Category,Subcategory,Module,Item Code,Description,Brand,Model,Supplier,Qty,Unit,Unit Cost,Price Source,Reference Number,Price Date,Specification,Remark
04,Mechanical material,Mechanical - Sensor Jig Stand x2,SL-HBL135TS8,Aluminum Frame Bracket,Misumi,SL-HBL135TS8,Misumi,4.0,Pcs,220.0,Previous Estimate,20260121-001-1,2026-01-21,Original supplier: Misumi; Original lead time: not stated,PJ260022; Source: 20260121-001-1_Estimate cost for HOWA - QR Reader Jig.xlsx; 004_COST_ME!row 17; Summary row 24 | BOM per jig multiplied by two jigs from summary K24; replaces summary aggregate row24. | Original supplier: Misumi
04,Mechanical material,Mechanical - Sensor Jig Stand x2,SHPTTS8,Aluminum Frame Bracket,Misumi,SHPTTS8,Misumi,2.0,Pcs,80.0,Previous Estimate,20260121-001-1,2026-01-21,Original supplier: Misumi; Original lead time: not stated,PJ260022; Source: 20260121-001-1_Estimate cost for HOWA - QR Reader Jig.xlsx; 004_COST_ME!row 18; Summary row 24 | BOM per jig multiplied by two jigs from summary K24; replaces summary aggregate row24. | Original supplier: Misumi
04,Mechanical material,Mechanical - Sensor Jig Stand x2,HFC8-4040-B,Aluminum Frame End Cap,Misumi,HFC8-4040-B,Misumi,6.0,Pcs,20.0,Previous Estimate,20260121-001-1,2026-01-21,Original supplier: Misumi; Original lead time: not stated,PJ260022; Source: 20260121-001-1_Estimate cost for HOWA - QR Reader Jig.xlsx; 004_COST_ME!row 19; Summary row 24 | BOM per jig multiplied by two jigs from summary K24; replaces summary aggregate row24. | Original supplier: Misumi
04,Mechanical material,Mechanical - Sensor Jig Stand x2,HLFC8-4040,Foot Base,Misumi,HLFC8-4040,Misumi,2.0,Pcs,325.0,Previous Estimate,20260121-001-1,2026-01-21,Original supplier: Misumi; Original lead time: not stated,PJ260022; Source: 20260121-001-1_Estimate cost for HOWA - QR Reader Jig.xlsx; 004_COST_ME!row 20; Summary row 24 | BOM per jig multiplied by two jigs from summary K24; replaces summary aggregate row24. | Original supplier: Misumi
04,Mechanical material,Mechanical - Sensor Jig Stand x2,NFJN10-75,Adjust Pad,Misumi,NFJN10-75,Misumi,2.0,Pcs,60.0,Previous Estimate,20260121-001-1,2026-01-21,Original supplier: Misumi; Original lead time: not stated,PJ260022; Source: 20260121-001-1_Estimate cost for HOWA - QR Reader Jig.xlsx; 004_COST_ME!row 21; Summary row 24 | BOM per jig multiplied by two jigs from summary K24; replaces summary aggregate row24. | Original supplier: Misumi
04,Mechanical material,Mechanical - Sensor Jig Stand x2,MFSTF12,Device Stands,Misumi,MFSTF12,Misumi,6.0,Pcs,360.0,Previous Estimate,20260121-001-1,2026-01-21,Original supplier: Misumi; Original lead time: not stated,PJ260022; Source: 20260121-001-1_Estimate cost for HOWA - QR Reader Jig.xlsx; 004_COST_ME!row 22; Summary row 24 | BOM per jig multiplied by two jigs from summary K24; replaces summary aggregate row24. | Original supplier: Misumi
04,Mechanical material,Mechanical - Sensor Jig Stand x2,PSFJ12-100,Shaft,Misumi,PSFJ12-100,Misumi,4.0,Pcs,135.0,Previous Estimate,20260121-001-1,2026-01-21,Original supplier: Misumi; Original lead time: not stated,PJ260022; Source: 20260121-001-1_Estimate cost for HOWA - QR Reader Jig.xlsx; 004_COST_ME!row 23; Summary row 24 | BOM per jig multiplied by two jigs from summary K24; replaces summary aggregate row24. | Original supplier: Misumi
04,Mechanical material,Mechanical - Sensor Jig Stand x2,PSFJ12-200,Shaft,Misumi,PSFJ12-200,Misumi,2.0,Pcs,175.0,Previous Estimate,20260121-001-1,2026-01-21,Original supplier: Misumi; Original lead time: not stated,PJ260022; Source: 20260121-001-1_Estimate cost for HOWA - QR Reader Jig.xlsx; 004_COST_ME!row 24; Summary row 24 | BOM per jig multiplied by two jigs from summary K24; replaces summary aggregate row24. | Original supplier: Misumi
04,Mechanical material,Mechanical - Sensor Jig Stand x2,MKA12-50,Strut Clamps,Misumi,MKA12-50,Misumi,2.0,Pcs,680.0,Previous Estimate,20260121-001-1,2026-01-21,Original supplier: Misumi; Original lead time: 12D,PJ260022; Source: 20260121-001-1_Estimate cost for HOWA - QR Reader Jig.xlsx; 004_COST_ME!row 25; Summary row 24 | BOM per jig multiplied by two jigs from summary K24; replaces summary aggregate row24. | Original supplier: Misumi
04,Mechanical material,Mechanical - Sensor Jig Stand x2,PACK-HNTP8-8,Insert Nut M8,Misumi,PACK-HNTP8-8,Misumi,2.0,Pcs,1300.0,Previous Estimate,20260121-001-1,2026-01-21,Original supplier: Misumi; Original lead time: not stated,PJ260022; Source: 20260121-001-1_Estimate cost for HOWA - QR Reader Jig.xlsx; 004_COST_ME!row 26; Summary row 24 | BOM per jig multiplied by two jigs from summary K24; replaces summary aggregate row24. | Original supplier: Misumi
04,Mechanical material,Mechanical - Sensor Jig Stand x2,PACK-HNTP8-6,Insert Nut M6,Misumi,PACK-HNTP8-6,Misumi,2.0,Pcs,1300.0,Previous Estimate,20260121-001-1,2026-01-21,Original supplier: Misumi; Original lead time: not stated,PJ260022; Source: 20260121-001-1_Estimate cost for HOWA - QR Reader Jig.xlsx; 004_COST_ME!row 27; Summary row 24 | BOM per jig multiplied by two jigs from summary K24; replaces summary aggregate row24. | Original supplier: Misumi
04,Mechanical material,Mechanical - Sensor Jig Stand x2,HNTP8-5,Insert Nut M5,Misumi,HNTP8-5,Misumi,20.0,Pcs,15.0,Previous Estimate,20260121-001-1,2026-01-21,Original supplier: Misumi; Original lead time: not stated,PJ260022; Source: 20260121-001-1_Estimate cost for HOWA - QR Reader Jig.xlsx; 004_COST_ME!row 28; Summary row 24 | BOM per jig multiplied by two jigs from summary K24; replaces summary aggregate row24. | Original supplier: Misumi
04,Mechanical material,Mechanical - Sensor Jig Stand x2,Bolt and Accessorry,Bolt and Accessorry,Local,Bolt and Accessorry,,2.0,Set,1000.0,Previous Estimate,20260121-001-1,2026-01-21,Original supplier: Local; Original lead time: not stated,PJ260022; Source: 20260121-001-1_Estimate cost for HOWA - QR Reader Jig.xlsx; 004_COST_ME!row 29; Summary row 24 | BOM per jig multiplied by two jigs from summary K24; replaces summary aggregate row24. | Original supplier: Local
04,Mechanical material,Mechanical - Sensor Jig Stand x2,MZ00-U001-001,Stand bkt,Local,MZ00-U001-001,,4.0,Pcs,750.0,Previous Estimate,20260121-001-1,2026-01-21,Original supplier: Local; Original lead time: not stated,PJ260022; Source: 20260121-001-1_Estimate cost for HOWA - QR Reader Jig.xlsx; 004_COST_ME!row 30; Summary row 24 | BOM per jig multiplied by two jigs from summary K24; replaces summary aggregate row24. | Original supplier: Local
04,Mechanical material,Mechanical - Sensor Jig Stand x2,MZ00-U001-002,Stand bkt,Local,MZ00-U001-002,,4.0,Pcs,500.0,Previous Estimate,20260121-001-1,2026-01-21,Original supplier: Local; Original lead time: not stated,PJ260022; Source: 20260121-001-1_Estimate cost for HOWA - QR Reader Jig.xlsx; 004_COST_ME!row 31; Summary row 24 | BOM per jig multiplied by two jigs from summary K24; replaces summary aggregate row24. | Original supplier: Local
04,Mechanical safety cost,Mechanical - Sensor Jig Stand x2,PJ260022-033,Sefety cost,,,,2,Jig,970,Previous Estimate,20260121-001-1,2026-01-21,Original supplier: -; Original lead time: -,PJ260022; Source: 20260121-001-1_Estimate cost for HOWA - QR Reader Jig.xlsx; 004_COST_ME!row 34; Summary row 24 | 970 per jig fixed amount in L34; J34 is0 and K34 blank. Two jigs from summary K24. | Original supplier: -
06,Mechanical labor,Mechanical labor,PJ260022-034,Drawing Design,IoT Team,,,1.0,Man Day,5000.0,Previous Estimate,20260121-001-1,2026-01-21,Original supplier: TOMAS TECH; Original lead time: not stated,PJ260022; Source: 20260121-001-1_Estimate cost for HOWA - QR Reader Jig.xlsx; 001_Summary cost!row 29; Summary row 29 | Page 4/6 | Original supplier: TOMAS TECH | Original fixed labor estimate retained as cost item; do not add equivalent man-hour cost again.
06,Mechanical labor,Mechanical labor,PJ260022-035,Assembly,IoT Team,,,1.0,Man Day,5000.0,Previous Estimate,20260121-001-1,2026-01-21,Original supplier: TOMAS TECH; Original lead time: not stated,PJ260022; Source: 20260121-001-1_Estimate cost for HOWA - QR Reader Jig.xlsx; 001_Summary cost!row 30; Summary row 30 | Page 4/6 | Original supplier: TOMAS TECH | Original fixed labor estimate retained as cost item; do not add equivalent man-hour cost again.
06,Mechanical labor,Mechanical labor,PJ260022-036,"Installation ,Test",IoT Team,,,1.0,Set,5000.0,Previous Estimate,20260121-001-1,2026-01-21,Original supplier: TOMAS TECH; Original lead time: not stated,PJ260022; Source: 20260121-001-1_Estimate cost for HOWA - QR Reader Jig.xlsx; 001_Summary cost!row 31; Summary row 31 | Page 4/6 | Original supplier: TOMAS TECH | Summary unit Set retained; detail unit Day. No additional labor line to avoid double count. | Original fixed labor estimate retained as cost item; do not add equivalent man-hour cost again.
08,Transportation,Transportation,PJ260022-037,Transportation,IoT Team,,,1.0,Day,2000.0,Previous Estimate,20260121-001-1,2026-01-21,Original supplier: TOMAS TECH; Original lead time: not stated,PJ260022; Source: 20260121-001-1_Estimate cost for HOWA - QR Reader Jig.xlsx; 001_Summary cost!row 32; Summary row 32 | Page 4/6 | Original supplier: TOMAS TECH
