1|คำขอหมดเวลา การบันทึกอาจเสร็จแล้ว ปิดหน้าต่างและรีเฟรชก่อนลองอีกครั้ง|要求がタイムアウトしました。保存済みの可能性があります。閉じて更新してから再試行してください。
2|ข้อมูลไม่ครบ กรุณารีเฟรชแผนทรัพยากร|結果が不完全です。リソース計画を更新してください。
3|อ่านรายละเอียดการมอบหมายไม่ได้ จึงแสดงผู้รับผิดชอบ Estimate|割当詳細を取得できないため、見積担当者を表示します。
4|ไม่สามารถอ่านตารางงาน|工程を取得できません
5|ภาระงานสูงสุด|最大負荷
6|คน-วัน (ส่วนของบุคคล)|人日（個人配分）
7|ยังไม่วางแผน|未計画
8|ไม่มีสิทธิ์เข้าถึง|アクセスが拒否されました
13|ข้อมูลที่แสดงอาจไม่เป็นปัจจุบัน รีเฟรชก่อนวางแผน|表示データが古い可能性があります。計画前に更新してください。
16|ภายในช่วงเวลาที่เลือก|選択した期間内
24|กำลังทำงานใช้จำนวนวันต่อสัปดาห์ที่บันทึกไว้ จันทร์–ศุกร์ หักวันหยุดบริษัท แต่ยังไม่หักวันลาส่วนตัว|稼働能力は登録済みの週稼働日数（月～金）から会社休日を除いて計算します。個人休暇は控除しません。
25|Effort และกำลังทำงานที่ยังไม่วางแผนแสดงเป็น — ไม่ใช่ศูนย์|未計画の工数・稼働能力は0ではなく「—」で表示します。
26|ไม่รวมแผนที่ไม่ครบในยอดรวม ค่าใช้งานจึงเป็นค่าขั้นต่ำจนกว่าจะระบุ Effort ครบ|不完全な計画は合計に含みません。工数が揃うまで稼働率は下限値です。
27|Effort ของ Estimate แบ่งเท่ากันระหว่างผู้รับผิดชอบและผู้ช่วย ส่วน Project แบ่งตามผู้รับผิดชอบงาน|見積工数は担当者・支援者で均等に配分し、プロジェクト工数は作業担当者に配分します。
29|ไม่พบพนักงานที่ตรงตัวกรอง|条件に一致するメンバーがいません
30|ล้างตัวกรองแผนกหรือคำค้นหาเพื่อดูทีมอีกครั้ง|部門や検索条件を解除するとチームを表示できます。
31|แต่ละแถบคืองานที่รับผิดชอบ ส่วนที่แรเงาคือความคืบหน้า|各バーは1つの担当業務を表し、網掛け部分が進捗です
34|ไม่มีงานที่จัดตารางในช่วงนี้|この期間に予定された業務はありません
35|ภาระงานรายสัปดาห์|週別負荷
36|คน-วันที่วางแผน / คน-วันที่พร้อมทำงาน · เขียวต่ำกว่า 85% เหลืองไม่เกิน 100% แดงเกินกำลัง|計画人日／利用可能人日・緑は85%未満、黄は100%以下、赤は超過
39|ภาระงานวิศวกร|技術者の負荷
42|ต้องตัดสินใจ|判断が必要
44|กำหนดกำลังทำงานรายสัปดาห์|週の稼働能力を設定
45|ภาระงานแยกตามแผนก|部門別負荷
47|เปิดรายการต้นทางเพื่อเปลี่ยนผู้รับผิดชอบหรือวันที่โครงการ วางแผน Effort ก่อนขายที่นี่|担当者やプロジェクト日付は元の記録で変更し、販売前の工数はここで計画します。
49|วางแผน Effort|工数を計画
50|Effort รวมสำหรับทำ Estimate ไม่ใช่ส่งมอบโครงการ แบ่งเท่ากันระหว่างผู้รับมอบหมาย Estimate|見積作成の総工数です。プロジェクト実行工数ではありません。見積担当者で均等配分します。
51|วันทำงานต่อสัปดาห์ (จันทร์–ศุกร์)|週の稼働日数（月～金）
52|กรุณาเลือก Inquiry|引合を選択してください。
54|รายงานโดย|報告者
57|ค่าใช้จ่ายอื่น|その他原価
58|เกิดข้อผิดพลาดที่ไม่คาดคิด|予期しないエラー
59|ไม่มีสิทธิ์เข้าถึง|アクセス権がありません
101|บันทึกไม่สำเร็จ กรุณาลองอีกครั้ง|保存できませんでした。再試行してください|Save failed. Please try again
102|1. ข้อมูลชุด|1. セット情報|1. Set details
103|ระบบตั้งให้แล้ว เปลี่ยนได้ ใช้ A–Z, 0–9 และ . _ / -|自動設定済みです。A–Z・0–9・. _ / - を使って変更できます|Generated for you; editable using A–Z, 0–9 and . _ / -
104|2. รายการต่อ 1 ชุด|2. 1セットあたりの明細|2. Items per set
105|เพิ่มรายการ|項目を追加|Add item
106|ใช้ฟิลด์เดียวกับ Estimate Cost · Quantity คือจำนวนต่อ 1 ชุด เช่น Sensor 4 ตัว × 3 ชุด = 12 ตัว ชื่อโมดูลและผู้รับผิดชอบกำหนดตอนนำไปใช้|原価見積と同じ入力項目です。数量は1セット分です（例：センサー4個×3セット＝12個）。モジュール名と担当者は使用時に設定します|Uses Estimate Cost fields. Quantity is per set, e.g. 4 sensors × 3 sets = 12. Set module name and owner when applying
107|นำรายการออกแล้ว|項目を削除しました|Item removed
108|เพิ่มอย่างน้อย 1 รายการก่อนบันทึก|保存前に1件以上追加してください|Add at least one item before saving
109|3. สถานะการใช้งาน|3. 利用状態|3. Availability
110|ฉบับร่าง — เตรียมข้อมูลก่อน ยังไม่แสดงใน Estimate|下書き・準備中のため見積には表示しません|Draft — prepare first; hidden from estimates
111|พร้อมใช้งาน — ทีมเลือกใช้ใน Estimate ได้|使用可能・チームが見積で選択できます|Ready — available for the team to use in estimates
112|ระบบบันทึกผู้สร้าง ผู้แก้ไข และเวลาให้อัตโนมัติ|作成者・更新者・時刻を自動記録します|Creator, editor and timestamps are recorded automatically
113|· การแก้ไขจะเพิ่ม Revision และไม่เปลี่ยนรายการใน Estimate ที่ใช้ไปแล้ว|・編集すると版が増え、使用済み見積の明細は変更しません|· Editing creates a revision without changing items already used in estimates
116|ประวัตินำเข้า Excel และอุปกรณ์ลูกค้าจัดหา (|Excel取込履歴・顧客支給品（|Excel import history and customer-supplied equipment (
117|ไม่ระบุ revision|版未指定|Revision unspecified
118|เลือกไฟล์ .xlsx หรือใช้ตัวนำเข้าตารางทั่วไปสำหรับ CSV/TSV|.xlsxを選択するか、CSV・TSVには通常の表取込を使用してください|Select .xlsx, or use the generic table importer for CSV/TSV
119|ไม่พบชีต Summary cost สำหรับฟอร์มบริษัท หากเป็นตาราง Header แถวแรก ให้ใช้ตัวนำเข้าตารางทั่วไป|会社書式のSummary costシートがありません。1行目が見出しの表には通常の表取込を使用してください|Company template Summary cost sheet not found. For a table with headers in row 1, use the generic importer
120|นำเข้าไม่สำเร็จ ทั้งชุดยังไม่ถูกบันทึก|取込に失敗しました。一括データは保存されていません|Import failed; the batch was not saved
121|เลือกไฟล์บริษัท ตรวจรายการและยอดรวม แล้วบันทึกทั้งชุด|会社のファイルを選択し、明細と合計を確認して一括保存|Choose the company file, review items and totals, then save the batch
122|กำลังบันทึกทั้งชุด…|一括保存中…|Saving batch…
124|Estimate นี้ถูกล็อก กรุณาสร้าง revision ก่อนนำเข้า|この見積はロックされています。取込前に新しい版を作成してください|This estimate is locked. Create a revision before importing
125|กรุณาตรวจ revision ปลายทางเพื่อไม่เพิ่มต้นทุนซ้ำ|原価の重複を避けるため、取込先の版を確認してください|Check the destination revision to avoid duplicate costs
126|ผู้ขายที่ยังไม่ตรงกับข้อมูลหลักจะเก็บชื่อต้นฉบับไว้ในหมายเหตุ ค่าแรงใช้ 1 คน × จำนวนวันใน Excel × อัตราเดิม|マスタに一致しない仕入先名は注記に保持します。人件費は1人×Excelの日数×元の単価で計算します|Unmatched supplier names are kept in remarks. Labor uses 1 person × Excel days × original rate
128|รายการต้นทุน|原価明細
129|รายการลูกค้าจัดหาเก็บในประวัตินำเข้า ไม่นับเป็นต้นทุนซื้อ การนำเข้าไม่อนุมัติราคาและไม่เปลี่ยนสถานะ Project|顧客支給品は取込履歴に保存し、購買原価には含みません。取込で価格承認やプロジェクト状態の変更は行いません|Customer-supplied items stay in import history and are excluded from purchase cost. Import does not approve prices or change project status
